time: 1578057099, messages: 0, members joined 0 
time: 1578057478, messages: 0, members joined 0 
time: 1578057483, messages: 0, members joined 0 
time: 1578057488, messages: 0, members joined 0 
time: 1578057494, messages: 0, members joined 0 
time: 1578057499, messages: 1, members joined 0 
time: 1578057504, messages: 0, members joined 0 
time: 1578057509, messages: 0, members joined 0 
time: 1578057514, messages: 0, members joined 0 
time: 1578057519, messages: 0, members joined 0 
time: 1578057524, messages: 0, members joined 0 
time: 1578057529, messages: 0, members joined 0 
time: 1578057534, messages: 0, members joined 0 
time: 1578057539, messages: 0, members joined 0 
time: 1578057544, messages: 0, members joined 0 
time: 1578057549, messages: 0, members joined 0 
time: 1578057554, messages: 0, members joined 0 
time: 1578057560, messages: 0, members joined 0 
time: 1578057565, messages: 1, members joined 0 
time: 1578057570, messages: 0, members joined 0 
time: 1578057575, messages: 0, members joined 0 
time: 1578057580, messages: 0, members joined 0 
time: 1578057585, messages: 1, members joined 0 
time: 1578057590, messages: 0, members joined 0 
time: 1578057595, messages: 0, members joined 0 
time: 1578057600, messages: 0, members joined 0 
time: 1578057605, messages: 0, members joined 0 
time: 1578057610, messages: 0, members joined 0 
time: 1578057615, messages: 0, members joined 0 
time: 1578057620, messages: 0, members joined 0 
time: 1578057625, messages: 0, members joined 0 
time: 1578057630, messages: 0, members joined 0 
time: 1578057635, messages: 0, members joined 0 
time: 1578057640, messages: 0, members joined 0 
time: 1578057645, messages: 0, members joined 0 
time: 1578057650, messages: 0, members joined 0 
time: 1578057655, messages: 0, members joined 0 
time: 1578057660, messages: 0, members joined 0 
time: 1578057669, messages: 0, members joined 0 
time: 1578057674, messages: 0, members joined 0 
time: 1578057679, messages: 1, members joined 0 
time: 1578057684, messages: 0, members joined 0 
time: 1578057690, messages: 1, members joined 0 
time: 1578057695, messages: 0, members joined 0 
time: 1578057700, messages: 0, members joined 0 
time: 1578057705, messages: 2, members joined 0 
time: 1578057710, messages: 0, members joined 0 
time: 1578057715, messages: 0, members joined 0 
time: 1578057720, messages: 0, members joined 0 
time: 1578057725, messages: 0, members joined 0 
time: 1578057730, messages: 0, members joined 0 
time: 1578057735, messages: 0, members joined 0 
time: 1578057740, messages: 0, members joined 0 
time: 1578057745, messages: 0, members joined 0 
time: 1578057750, messages: 0, members joined 0 
time: 1578057755, messages: 0, members joined 0 
time: 1578057760, messages: 0, members joined 0 
time: 1578057765, messages: 0, members joined 0 
time: 1578057770, messages: 0, members joined 0 
time: 1578057775, messages: 0, members joined 0 
time: 1578057780, messages: 0, members joined 0 
time: 1578057785, messages: 0, members joined 0 
time: 1578057790, messages: 0, members joined 0 
time: 1578057795, messages: 0, members joined 0 
time: 1578057800, messages: 0, members joined 0 
time: 1578057805, messages: 0, members joined 0 
time: 1578057810, messages: 0, members joined 0 
time: 1578057815, messages: 0, members joined 0 
time: 1578057820, messages: 0, members joined 0 
time: 1578057825, messages: 0, members joined 0 
time: 1578057832, messages: 0, members joined 0 
time: 1578057837, messages: 0, members joined 0 
time: 1578057842, messages: 2, members joined 0 
time: 1578057847, messages: 0, members joined 0 
time: 1578057852, messages: 1, members joined 0 
time: 1578057857, messages: 0, members joined 0 
time: 1578057862, messages: 0, members joined 0 
time: 1578057867, messages: 0, members joined 0 
time: 1578057872, messages: 2, members joined 0 
time: 1578057877, messages: 0, members joined 0 
time: 1578057882, messages: 0, members joined 0 
time: 1578057887, messages: 0, members joined 0 
time: 1578057892, messages: 0, members joined 0 
time: 1578057897, messages: 0, members joined 0 
time: 1578057902, messages: 0, members joined 0 
time: 1578057907, messages: 0, members joined 0 
time: 1578057912, messages: 0, members joined 0 
time: 1578057917, messages: 0, members joined 0 
time: 1578057922, messages: 0, members joined 0 
time: 1578057927, messages: 0, members joined 0 
time: 1578057932, messages: 0, members joined 0 
time: 1578057937, messages: 0, members joined 0 
time: 1578057942, messages: 0, members joined 0 
time: 1578057947, messages: 0, members joined 0 
time: 1578057952, messages: 0, members joined 0 
time: 1578057957, messages: 0, members joined 0 
time: 1578057962, messages: 0, members joined 0 
time: 1578057967, messages: 0, members joined 0 
time: 1578057972, messages: 0, members joined 0 
time: 1578057977, messages: 0, members joined 0 
time: 1578057982, messages: 0, members joined 0 
time: 1578057987, messages: 0, members joined 0 
time: 1578057992, messages: 0, members joined 0 
time: 1578057997, messages: 0, members joined 0 
time: 1578058002, messages: 0, members joined 0 
time: 1578058008, messages: 0, members joined 0 
time: 1578058013, messages: 0, members joined 0 
time: 1578058018, messages: 0, members joined 0 
time: 1578058023, messages: 0, members joined 0 
time: 1578058028, messages: 0, members joined 0 
time: 1578058033, messages: 0, members joined 0 
time: 1578058038, messages: 0, members joined 0 
time: 1578058043, messages: 0, members joined 0 
time: 1578058048, messages: 0, members joined 0 
time: 1578058053, messages: 0, members joined 0 
time: 1578058062, messages: 0, members joined 0 
time: 1578058067, messages: 0, members joined 0 
time: 1578058072, messages: 0, members joined 0 
time: 1578058077, messages: 0, members joined 0 
time: 1578058083, messages: 0, members joined 0 
time: 1578058088, messages: 0, members joined 0 
time: 1578058093, messages: 0, members joined 0 
time: 1578058098, messages: 0, members joined 0 
time: 1578058103, messages: 0, members joined 0 
time: 1578058108, messages: 0, members joined 0 
time: 1578058113, messages: 0, members joined 0 
time: 1578058118, messages: 0, members joined 0 
time: 1578058123, messages: 0, members joined 0 
time: 1578058128, messages: 0, members joined 0 
time: 1578058133, messages: 0, members joined 0 
time: 1578058138, messages: 0, members joined 0 
time: 1578058143, messages: 0, members joined 0 
time: 1578058148, messages: 0, members joined 0 
time: 1578058153, messages: 0, members joined 0 
time: 1578058158, messages: 0, members joined 0 
time: 1578058163, messages: 0, members joined 0 
time: 1578058168, messages: 0, members joined 0 
time: 1578058173, messages: 0, members joined 0 
time: 1578058178, messages: 0, members joined 0 
time: 1578058183, messages: 0, members joined 0 
time: 1578058188, messages: 0, members joined 0 
time: 1578058193, messages: 0, members joined 0 
time: 1578058198, messages: 0, members joined 0 
time: 1578058203, messages: 0, members joined 0 
time: 1578058208, messages: 0, members joined 0 
time: 1578058213, messages: 0, members joined 0 
time: 1578058218, messages: 0, members joined 0 
time: 1578058223, messages: 0, members joined 0 
time: 1578058228, messages: 0, members joined 0 
time: 1578058233, messages: 0, members joined 0 
time: 1578058238, messages: 0, members joined 0 
time: 1578058243, messages: 0, members joined 0 
time: 1578058248, messages: 0, members joined 0 
time: 1578058253, messages: 0, members joined 0 
time: 1578058258, messages: 0, members joined 0 
time: 1578058263, messages: 0, members joined 0 
time: 1578058268, messages: 0, members joined 0 
time: 1578058273, messages: 0, members joined 0 
time: 1578058278, messages: 0, members joined 0 
time: 1578058283, messages: 0, members joined 0 
time: 1578058288, messages: 0, members joined 0 
time: 1578058293, messages: 0, members joined 0 
time: 1578058298, messages: 0, members joined 0 
time: 1578058303, messages: 0, members joined 0 
time: 1578058308, messages: 0, members joined 0 
time: 1578058318, messages: 0, members joined 0 
time: 1578058323, messages: 0, members joined 0 
time: 1578058328, messages: 0, members joined 0 
time: 1578058333, messages: 0, members joined 0 
time: 1578058338, messages: 0, members joined 0 
time: 1578058343, messages: 0, members joined 0 
time: 1578058348, messages: 0, members joined 0 
time: 1578058353, messages: 0, members joined 0 
time: 1578058358, messages: 0, members joined 0 
time: 1578058363, messages: 0, members joined 0 
time: 1578058368, messages: 0, members joined 0 
time: 1578058373, messages: 0, members joined 0 
time: 1578058378, messages: 0, members joined 0 
time: 1578058383, messages: 0, members joined 0 
time: 1578058388, messages: 0, members joined 0 
time: 1578058393, messages: 0, members joined 0 
time: 1578058398, messages: 0, members joined 0 
time: 1578058403, messages: 0, members joined 0 
time: 1578058408, messages: 0, members joined 0 
time: 1578058413, messages: 0, members joined 0 
time: 1578058418, messages: 0, members joined 0 
time: 1578058423, messages: 0, members joined 0 
time: 1578058428, messages: 0, members joined 0 
time: 1578058433, messages: 0, members joined 0 
time: 1578058438, messages: 0, members joined 0 
time: 1578058443, messages: 0, members joined 0 
time: 1578058448, messages: 0, members joined 0 
time: 1578058453, messages: 0, members joined 0 
time: 1578058458, messages: 0, members joined 0 
time: 1578058463, messages: 0, members joined 0 
time: 1578058468, messages: 0, members joined 0 
time: 1578058473, messages: 0, members joined 0 
time: 1578058478, messages: 0, members joined 0 
time: 1578058483, messages: 0, members joined 0 
time: 1578058488, messages: 0, members joined 0 
time: 1578058493, messages: 0, members joined 0 
time: 1578058498, messages: 0, members joined 0 
time: 1578058503, messages: 0, members joined 0 
time: 1578058508, messages: 0, members joined 0 
time: 1578058513, messages: 0, members joined 0 
time: 1578058519, messages: 0, members joined 0 
time: 1578058524, messages: 0, members joined 0 
time: 1578058529, messages: 0, members joined 0 
time: 1578058534, messages: 0, members joined 0 
time: 1578058539, messages: 0, members joined 0 
time: 1578058544, messages: 0, members joined 0 
time: 1578058549, messages: 0, members joined 0 
time: 1578058554, messages: 0, members joined 0 
time: 1578058559, messages: 0, members joined 0 
time: 1578058564, messages: 0, members joined 0 
time: 1578058569, messages: 0, members joined 0 
time: 1578058574, messages: 0, members joined 0 
time: 1578058579, messages: 0, members joined 0 
time: 1578058584, messages: 0, members joined 0 
time: 1578058589, messages: 0, members joined 0 
time: 1578058594, messages: 0, members joined 0 
time: 1578058599, messages: 0, members joined 0 
time: 1578058604, messages: 0, members joined 0 
time: 1578058609, messages: 0, members joined 0 
time: 1578058614, messages: 0, members joined 0 
time: 1578058619, messages: 0, members joined 0 
time: 1578058624, messages: 0, members joined 0 
time: 1578058629, messages: 0, members joined 0 
time: 1578058634, messages: 0, members joined 0 
time: 1578058639, messages: 0, members joined 0 
time: 1578058644, messages: 0, members joined 0 
time: 1578058649, messages: 0, members joined 0 
time: 1578058654, messages: 0, members joined 0 
time: 1578058659, messages: 0, members joined 0 
time: 1578058664, messages: 0, members joined 0 
time: 1578058669, messages: 0, members joined 0 
time: 1578058677, messages: 0, members joined 0 
time: 1578058682, messages: 2, members joined 0 
time: 1578058687, messages: 0, members joined 0 
time: 1578058692, messages: 0, members joined 0 
time: 1578058700, messages: 0, members joined 0 
time: 1578058705, messages: 2, members joined 0 
time: 1578058710, messages: 1, members joined 0 
time: 1578058715, messages: 0, members joined 0 
time: 1578058720, messages: 1, members joined 0 
time: 1578058725, messages: 1, members joined 0 
time: 1578058730, messages: 1, members joined 0 
time: 1578058735, messages: 0, members joined 0 
time: 1578058740, messages: 0, members joined 0 
time: 1578058745, messages: 0, members joined 0 
time: 1578058750, messages: 0, members joined 0 
time: 1578058755, messages: 0, members joined 0 
time: 1578058760, messages: 0, members joined 0 
time: 1578058765, messages: 0, members joined 0 
time: 1578058771, messages: 0, members joined 0 
time: 1578058776, messages: 0, members joined 0 
time: 1578058781, messages: 0, members joined 0 
time: 1578058786, messages: 0, members joined 0 
time: 1578058791, messages: 0, members joined 0 
time: 1578058796, messages: 0, members joined 0 
time: 1578058801, messages: 0, members joined 0 
time: 1578058806, messages: 0, members joined 0 
time: 1578058811, messages: 0, members joined 0 
time: 1578058816, messages: 0, members joined 0 
time: 1578058821, messages: 0, members joined 0 
time: 1578058826, messages: 0, members joined 0 
time: 1578058831, messages: 0, members joined 0 
time: 1578058836, messages: 0, members joined 0 
time: 1578058841, messages: 0, members joined 0 
time: 1578058846, messages: 0, members joined 0 
time: 1578058851, messages: 0, members joined 0 
time: 1578058856, messages: 0, members joined 0 
time: 1578058861, messages: 0, members joined 0 
time: 1578058866, messages: 0, members joined 0 
time: 1578058871, messages: 0, members joined 0 
time: 1578058876, messages: 0, members joined 0 
time: 1578058881, messages: 0, members joined 0 
time: 1578058886, messages: 0, members joined 0 
time: 1578058891, messages: 0, members joined 0 
time: 1578058896, messages: 0, members joined 0 
time: 1578058901, messages: 0, members joined 0 
time: 1578058906, messages: 0, members joined 0 
time: 1578058911, messages: 0, members joined 0 
time: 1578058916, messages: 0, members joined 0 
time: 1578058921, messages: 0, members joined 0 
time: 1578058926, messages: 0, members joined 0 
time: 1578058931, messages: 0, members joined 0 
time: 1578058936, messages: 0, members joined 0 
time: 1578058941, messages: 0, members joined 0 
time: 1578058946, messages: 0, members joined 0 
time: 1578058951, messages: 0, members joined 0 
time: 1578058956, messages: 0, members joined 0 
time: 1578058961, messages: 0, members joined 0 
time: 1578058966, messages: 0, members joined 0 
time: 1578058975, messages: 0, members joined 0 
time: 1578058980, messages: 0, members joined 0 
time: 1578058985, messages: 1, members joined 0 
time: 1578058990, messages: 0, members joined 0 
time: 1578058995, messages: 0, members joined 0 
time: 1578059000, messages: 0, members joined 0 
time: 1578059005, messages: 0, members joined 0 
time: 1578059011, messages: 0, members joined 0 
time: 1578059016, messages: 1, members joined 0 
time: 1578059021, messages: 0, members joined 0 
time: 1578059026, messages: 0, members joined 0 
time: 1578059031, messages: 0, members joined 0 
time: 1578059036, messages: 0, members joined 0 
time: 1578059041, messages: 0, members joined 0 
time: 1578059046, messages: 0, members joined 0 
time: 1578059051, messages: 0, members joined 0 
time: 1578059056, messages: 0, members joined 0 
time: 1578059061, messages: 0, members joined 0 
time: 1578059066, messages: 0, members joined 0 
time: 1578059071, messages: 0, members joined 0 
time: 1578059076, messages: 0, members joined 0 
time: 1578059114, messages: 0, members joined 0 
time: 1578059119, messages: 1, members joined 0 
time: 1578059124, messages: 0, members joined 0 
time: 1578059129, messages: 0, members joined 0 
time: 1578059134, messages: 0, members joined 0 
time: 1578059139, messages: 0, members joined 0 
time: 1578059144, messages: 0, members joined 0 
time: 1578059149, messages: 0, members joined 0 
time: 1578059154, messages: 1, members joined 0 
time: 1578059159, messages: 0, members joined 0 
time: 1578059164, messages: 0, members joined 0 
time: 1578059169, messages: 0, members joined 0 
time: 1578059178, messages: 0, members joined 0 
time: 1578059183, messages: 2, members joined 0 
time: 1578059188, messages: 0, members joined 0 
time: 1578059193, messages: 0, members joined 0 
time: 1578059198, messages: 0, members joined 0 
time: 1578059203, messages: 0, members joined 0 
time: 1578059208, messages: 0, members joined 0 
time: 1578059213, messages: 0, members joined 0 
time: 1578059218, messages: 0, members joined 0 
time: 1578059223, messages: 0, members joined 0 
time: 1578059228, messages: 0, members joined 0 
time: 1578059233, messages: 0, members joined 0 
time: 1578059238, messages: 0, members joined 0 
time: 1578059243, messages: 0, members joined 0 
time: 1578059248, messages: 0, members joined 0 
time: 1578059253, messages: 0, members joined 0 
time: 1578059258, messages: 0, members joined 0 
time: 1578059266, messages: 0, members joined 0 
time: 1578059271, messages: 1, members joined 0 
time: 1578059276, messages: 2, members joined 0 
time: 1578059281, messages: 0, members joined 0 
time: 1578059286, messages: 0, members joined 0 
time: 1578059291, messages: 2, members joined 0 
time: 1578059296, messages: 0, members joined 0 
time: 1578059301, messages: 0, members joined 0 
time: 1578059306, messages: 2, members joined 0 
time: 1578059311, messages: 0, members joined 0 
time: 1578059316, messages: 0, members joined 0 
time: 1578062641, messages: 0, members joined 0 
time: 1578062646, messages: 1, members joined 0 
time: 1578062651, messages: 6, members joined 0 
time: 1578062656, messages: 3, members joined 0 
time: 1578062661, messages: 2, members joined 0 
time: 1578062722, messages: 0, members joined 0 
time: 1578062727, messages: 1, members joined 0 
time: 1578062732, messages: 0, members joined 0 
time: 1578062737, messages: 2, members joined 0 
time: 1578062742, messages: 1, members joined 0 
time: 1578062747, messages: 1, members joined 0 
time: 1578062752, messages: 0, members joined 0 
time: 1578062757, messages: 1, members joined 0 
time: 1578062762, messages: 0, members joined 0 
time: 1578062767, messages: 1, members joined 0 
time: 1578062772, messages: 0, members joined 0 
time: 1578062777, messages: 0, members joined 0 
time: 1578062782, messages: 0, members joined 0 
time: 1578062787, messages: 1, members joined 0 
time: 1578062792, messages: 1, members joined 0 
time: 1578062797, messages: 1, members joined 0 
time: 1578062802, messages: 0, members joined 0 
time: 1578062807, messages: 0, members joined 0 
time: 1578062812, messages: 0, members joined 0 
time: 1578062817, messages: 0, members joined 0 
time: 1578062822, messages: 0, members joined 0 
time: 1578062827, messages: 0, members joined 0 
time: 1578062832, messages: 0, members joined 0 
time: 1578062837, messages: 0, members joined 0 
time: 1578062843, messages: 0, members joined 0 
time: 1578062848, messages: 0, members joined 0 
time: 1578062853, messages: 0, members joined 0 
time: 1578062858, messages: 0, members joined 0 
time: 1578062863, messages: 0, members joined 0 
time: 1578062868, messages: 0, members joined 0 
time: 1578062873, messages: 0, members joined 0 
time: 1578062878, messages: 6, members joined 0 
time: 1578062883, messages: 5, members joined 0 
time: 1578062888, messages: 0, members joined 0 
time: 1578062893, messages: 0, members joined 0 
time: 1578062898, messages: 0, members joined 0 
time: 1578062903, messages: 0, members joined 0 
time: 1578062908, messages: 0, members joined 0 
time: 1578062913, messages: 0, members joined 0 
time: 1578062918, messages: 0, members joined 0 
time: 1578062923, messages: 0, members joined 0 
time: 1578062929, messages: 0, members joined 0 
time: 1578062934, messages: 0, members joined 0 
time: 1578062939, messages: 0, members joined 0 
time: 1578062944, messages: 0, members joined 0 
time: 1578062949, messages: 0, members joined 0 
time: 1578062955, messages: 0, members joined 0 
time: 1578062960, messages: 0, members joined 0 
time: 1578062965, messages: 0, members joined 0 
time: 1578062970, messages: 0, members joined 0 
time: 1578062980, messages: 0, members joined 0 
time: 1578062985, messages: 3, members joined 0 
time: 1578062990, messages: 0, members joined 0 
time: 1578062995, messages: 0, members joined 0 
time: 1578063000, messages: 1, members joined 0 
time: 1578063005, messages: 0, members joined 0 
time: 1578063010, messages: 2, members joined 0 
time: 1578063015, messages: 2, members joined 0 
time: 1578063020, messages: 0, members joined 0 
time: 1578063025, messages: 0, members joined 0 
time: 1578063030, messages: 0, members joined 0 
time: 1578063035, messages: 0, members joined 0 
time: 1578063040, messages: 0, members joined 0 
time: 1578063048, messages: 0, members joined 0 
time: 1578063053, messages: 2, members joined 0 
time: 1578063058, messages: 0, members joined 0 
time: 1578063063, messages: 0, members joined 0 
time: 1578063068, messages: 0, members joined 0 
time: 1578063073, messages: 0, members joined 0 
time: 1578063078, messages: 0, members joined 0 
time: 1578063083, messages: 0, members joined 0 
time: 1578063088, messages: 0, members joined 0 
time: 1578063094, messages: 0, members joined 0 
time: 1578063099, messages: 0, members joined 0 
time: 1578063104, messages: 0, members joined 0 
time: 1578063109, messages: 0, members joined 0 
time: 1578063114, messages: 0, members joined 0 
time: 1578063119, messages: 0, members joined 0 
time: 1578063124, messages: 0, members joined 0 
time: 1578063129, messages: 0, members joined 0 
time: 1578063134, messages: 0, members joined 0 
time: 1578063139, messages: 0, members joined 0 
time: 1578063144, messages: 0, members joined 0 
time: 1578063149, messages: 0, members joined 0 
time: 1578063154, messages: 0, members joined 0 
time: 1578063159, messages: 0, members joined 0 
time: 1578063164, messages: 0, members joined 0 
time: 1578063169, messages: 0, members joined 0 
time: 1578063174, messages: 0, members joined 0 
time: 1578063179, messages: 0, members joined 0 
time: 1578063184, messages: 0, members joined 0 
time: 1578063189, messages: 0, members joined 0 
time: 1578063194, messages: 0, members joined 0 
time: 1578063199, messages: 0, members joined 0 
time: 1578063204, messages: 0, members joined 0 
time: 1578063209, messages: 0, members joined 0 
time: 1578063214, messages: 0, members joined 0 
time: 1578063219, messages: 0, members joined 0 
time: 1578063224, messages: 0, members joined 0 
time: 1578063229, messages: 0, members joined 0 
time: 1578063234, messages: 0, members joined 0 
time: 1578063239, messages: 0, members joined 0 
time: 1578063244, messages: 0, members joined 0 
time: 1578063249, messages: 0, members joined 0 
time: 1578063254, messages: 0, members joined 0 
time: 1578063259, messages: 0, members joined 0 
time: 1578063264, messages: 0, members joined 0 
time: 1578063269, messages: 0, members joined 0 
time: 1578063274, messages: 0, members joined 0 
time: 1578063279, messages: 0, members joined 0 
time: 1578063284, messages: 0, members joined 0 
time: 1578063289, messages: 0, members joined 0 
time: 1578063294, messages: 0, members joined 0 
time: 1578063299, messages: 0, members joined 0 
time: 1578063304, messages: 0, members joined 0 
time: 1578063309, messages: 0, members joined 0 
time: 1578063314, messages: 0, members joined 0 
time: 1578063319, messages: 0, members joined 0 
time: 1578063324, messages: 0, members joined 0 
time: 1578063329, messages: 0, members joined 0 
time: 1578063334, messages: 0, members joined 0 
time: 1578063339, messages: 0, members joined 0 
time: 1578063344, messages: 0, members joined 0 
time: 1578063349, messages: 0, members joined 0 
time: 1578063354, messages: 0, members joined 0 
time: 1578063361, messages: 0, members joined 0 
time: 1578063366, messages: 0, members joined 0 
time: 1578063371, messages: 2, members joined 0 
time: 1578063376, messages: 2, members joined 0 
time: 1578063381, messages: 0, members joined 0 
time: 1578063386, messages: 0, members joined 0 
time: 1578063391, messages: 0, members joined 0 
time: 1578063397, messages: 0, members joined 0 
time: 1578063402, messages: 4, members joined 0 
time: 1578063407, messages: 0, members joined 0 
time: 1578063412, messages: 0, members joined 0 
time: 1578063417, messages: 0, members joined 0 
time: 1578063423, messages: 0, members joined 0 
time: 1578063428, messages: 2, members joined 0 
time: 1578063433, messages: 0, members joined 0 
time: 1578063438, messages: 0, members joined 0 
time: 1578063443, messages: 0, members joined 0 
time: 1578063448, messages: 0, members joined 0 
time: 1578063453, messages: 0, members joined 0 
time: 1578063458, messages: 0, members joined 0 
time: 1578063463, messages: 0, members joined 0 
time: 1578063468, messages: 0, members joined 0 
time: 1578063473, messages: 0, members joined 0 
time: 1578063478, messages: 0, members joined 0 
time: 1578063483, messages: 0, members joined 0 
time: 1578063488, messages: 0, members joined 0 
time: 1578063493, messages: 2, members joined 0 
time: 1578063498, messages: 0, members joined 0 
time: 1578063503, messages: 0, members joined 0 
time: 1578063508, messages: 0, members joined 0 
time: 1578063514, messages: 0, members joined 0 
time: 1578063519, messages: 2, members joined 0 
time: 1578063524, messages: 0, members joined 0 
time: 1578063529, messages: 0, members joined 0 
time: 1578063534, messages: 0, members joined 0 
time: 1578063539, messages: 0, members joined 0 
time: 1578063544, messages: 0, members joined 0 
time: 1578063549, messages: 0, members joined 0 
time: 1578063554, messages: 0, members joined 0 
time: 1578063563, messages: 0, members joined 0 
time: 1578063568, messages: 1, members joined 0 
time: 1578063573, messages: 1, members joined 0 
time: 1578063578, messages: 0, members joined 0 
time: 1578063583, messages: 0, members joined 0 
time: 1578063588, messages: 0, members joined 0 
time: 1578063593, messages: 0, members joined 0 
time: 1578063598, messages: 0, members joined 0 
time: 1578063603, messages: 0, members joined 0 
time: 1578063608, messages: 0, members joined 0 
time: 1578063613, messages: 0, members joined 0 
time: 1578063618, messages: 0, members joined 0 
time: 1578063623, messages: 0, members joined 0 
time: 1578063628, messages: 2, members joined 0 
time: 1578063633, messages: 0, members joined 0 
time: 1578063638, messages: 0, members joined 0 
time: 1578063643, messages: 0, members joined 0 
time: 1578063648, messages: 0, members joined 0 
time: 1578063653, messages: 0, members joined 0 
time: 1578063658, messages: 0, members joined 0 
time: 1578063663, messages: 0, members joined 0 
time: 1578063668, messages: 0, members joined 0 
time: 1578063673, messages: 0, members joined 0 
time: 1578063678, messages: 0, members joined 0 
time: 1578063683, messages: 0, members joined 0 
time: 1578063688, messages: 0, members joined 0 
time: 1578063693, messages: 0, members joined 0 
time: 1578063698, messages: 0, members joined 0 
time: 1578063703, messages: 0, members joined 0 
time: 1578063708, messages: 0, members joined 0 
time: 1578063713, messages: 0, members joined 0 
time: 1578063718, messages: 0, members joined 0 
time: 1578063723, messages: 0, members joined 0 
time: 1578063728, messages: 0, members joined 0 
time: 1578063733, messages: 0, members joined 0 
time: 1578063738, messages: 0, members joined 0 
time: 1578063743, messages: 0, members joined 0 
time: 1578063748, messages: 0, members joined 0 
time: 1578063753, messages: 0, members joined 0 
time: 1578063758, messages: 0, members joined 0 
time: 1578063763, messages: 0, members joined 0 
time: 1578063988, messages: 0, members joined 0 
time: 1578063993, messages: 0, members joined 0 
time: 1578063998, messages: 0, members joined 0 
time: 1578064003, messages: 0, members joined 0 
time: 1578064008, messages: 2, members joined 0 
time: 1578064013, messages: 0, members joined 0 
time: 1578064018, messages: 0, members joined 0 
time: 1578064024, messages: 0, members joined 0 
time: 1578064029, messages: 0, members joined 0 
time: 1578064034, messages: 0, members joined 0 
time: 1578064039, messages: 0, members joined 0 
time: 1578064044, messages: 0, members joined 0 
time: 1578064049, messages: 0, members joined 0 
time: 1578064054, messages: 0, members joined 0 
time: 1578064059, messages: 0, members joined 0 
time: 1578064064, messages: 0, members joined 0 
time: 1578064069, messages: 0, members joined 0 
time: 1578064074, messages: 0, members joined 0 
time: 1578064079, messages: 0, members joined 0 
time: 1578064084, messages: 0, members joined 0 
time: 1578064089, messages: 0, members joined 0 
time: 1578064094, messages: 0, members joined 0 
time: 1578064099, messages: 0, members joined 0 
time: 1578064104, messages: 0, members joined 0 
time: 1578064109, messages: 0, members joined 0 
time: 1578064114, messages: 0, members joined 0 
time: 1578064119, messages: 0, members joined 0 
time: 1578064124, messages: 0, members joined 0 
time: 1578064129, messages: 0, members joined 0 
time: 1578064134, messages: 0, members joined 0 
time: 1578064139, messages: 0, members joined 0 
time: 1578064144, messages: 0, members joined 0 
time: 1578064149, messages: 0, members joined 0 
time: 1578064154, messages: 0, members joined 0 
time: 1578064159, messages: 2, members joined 0 
time: 1578064164, messages: 0, members joined 0 
time: 1578064169, messages: 0, members joined 0 
time: 1578064174, messages: 0, members joined 0 
time: 1578064179, messages: 0, members joined 0 
time: 1578064184, messages: 0, members joined 0 
time: 1578064189, messages: 0, members joined 0 
